source,target
frans09258841,jesseklaver
frans09258841,DevliegerErik
Nafta78,jesseklaver
HumanPeacefact,jesseklaver
j_flamingo,MaxTheDragon
ben_zat,GadflyForChange
ben_zat,Rosinant_
ben_zat,Martinbosma_pvv
top_grafisch,carola_lalabebe
top_grafisch,annstrikje
SUGenocide,NederbelgJ
SUGenocide,oornstein
SUGenocide,kozwartepiet
MaxTheDragon,j_flamingo
Udokelderman,PaulClappers
CMessemaeckers,jesseklaver
Jan_Verbeek_,jesseklaver
Chirensnel,jesseklaver
tjemigdepemig,jesseklaver
Josse1848,DeMariekeK
Josse1848,wimvanmierlo
Josse1848,jesseklaver
krisamasu,jesseklaver
krisamasu,DevliegerErik
Quesitum,TheRebelThePoet
PaulClappers,Udokelderman
Olaf1967DH,Kees71234
DeMariekeK,wimvanmierlo
DeMariekeK,jesseklaver
avdvnmg,Mirjam152
avdvnmg,GdenAantrekker
WhiteangelBe,HartvNL
Olaf1967DH,domootto
DeMariekeK,jesseklaver
DeMariekeK,LiekeSievers
Menlngen,NHNieuws
wimvanmierlo,jesseklaver
Catlover1971,mickvanwely
Olaf1967DH,CartoonGek
ringwaldband,DongaMaurits
ringwaldband,PolitiekBIJ1
ringwaldband,groenlinks
ringwaldband,SPnl
ringwaldband,PvdA
ringwaldband,D66
ringwaldband,PartijvdDieren
DeMariekeK,SamanthavanS95
DeMariekeK,LiekeSievers
Olaf1967DH,ShashiRoopram
Kara___Gozlum,DaWizzNL
Olaf1967DH,FeyeNody
Olaf1967DH,TheRebelThePoet
PeterHebly,Denkjewel
PeterHebly,WesterseCultuur
PeterHebly,wileikelboom
Kara___Gozlum,DaWizzNL
CnaVD,Doorbraakeu
CnaVD,TheRebelThePoet
CnaVD,kozwartepiet
Sjakijo,VVD
robknijff27,wileikelboom
krisamasu,Obnsw
krisamasu,PolitiekBIJ1
robknijff27,HarmHoogenberg
robknijff27,wileikelboom
jacobantonie,RotterdamBIJ1
Ricardo08179846,TheRebelThePoet
HenriVerhees,BroerVanRosita
HenriVerhees,teigemans
HenriVerhees,LavieJanRoos
esthervalent,SjefVugt
esthervalent,vpknerd
esthervalent,NicVis4
esthervalent,erikpjverweij
Kara___Gozlum,Dondanozz
JennievanderBu1,SylvanaBIJ1
Niem62453560Ano,DongaMaurits
Niem62453560Ano,Politie
Niem62453560Ano,POL_Volendam
frieda145,Zeemeermin6
frieda145,aalbert_torsius
frieda145,paulcaballo2
Riffter7,LavieJanRoos
Kara___Gozlum,Dondanozz
lampenstein,wileikelboom
lampenstein,alextencate
wepromiseto,Joanna__rd
frieda145,aalbert_torsius
frieda145,paulcaballo2
frieda145,Zeemeermin6
Yourwor45503739,LavieJanRoos
Abel19131812,AriePoot2
Abel19131812,HartvNL
Rob00110,OmroepON
Miesli2,JoannaSusanna
14mei48,gertjansegers
14mei48,geertwilderspvv
esthervalent,SjefVugt
esthervalent,vpknerd
esthervalent,NicVis4
esthervalent,erikpjverweij
Miesli2,JoannaSusanna
Kara___Gozlum,Dondanozz
Mvdb76,T888T77
Mvdb76,HartvNL
crisie907,Mirjam152
D_van_Aalst,LavieJanRoos
ronald19653,HartvNL
NickBlunt10,EduardPraag
theodorus_VII,Kara___Gozlum
PRh96075146,HartvNL
PeterHebly,atlantisblauw
PeterHebly,bezorg_service
PeterHebly,Denkjewel
PeterHebly,baspaternotte
PeterHebly,wileikelboom
Massi173,Magica08678935
Massi173,kozwartepiet
Dirk2137,wileikelboom
T888T77,Mvdb76
T888T77,HartvNL
GenerationalFTa,Aaronmoore1999
GenerationalFTa,mrbrownwhale
Kara___Gozlum,Dondanozz
HansHorsten,hans3104
MaxTheDragon,j_flamingo
hoppakee13,thyztwizta
hoppakee13,MwTuinstra
fotopeter31,BartNijman
T888T77,Mvdb76
T888T77,HartvNL
mrbrownwhale,Robbert00272607
mrbrownwhale,kozwartepiet
RealPlagueDoct,HartvNL
GovertNieuwland,BriellDe
GovertNieuwland,HendrikWakker
PijpelinkPerry,HartvNL
svfaassen,LavieJanRoos
Piet_Heyn,EJBron2
jaken69261993,Doorbraakeu
jaken69261993,TheRebelThePoet
jaken69261993,kozwartepiet
Mvdb76,T888T77
Mvdb76,HartvNL
HaraldDutch,globalistaa
DeLelijke,assissicourt
DeLelijke,frankvdlinde
Endless27748363,HartvNL
HAN_Nederland,SylvanaBIJ1
nadic_,moeva18
nadic_,SylvanaBIJ1
Johngoldwing1,HartvNL
Boomer07346504,Doorbraakeu
Boomer07346504,AnneBruijne
Boomer07346504,kozwartepiet
HermanGalle,nitram318
HermanGalle,M_nke
HermanGalle,Magica08678935
HermanGalle,NOS
spanjaard1959,SylvanaBIJ1
LeoBaaten,SylvanaBIJ1
Kara___Gozlum,ardjiman
SovaEm,Hema
TwoDutchGamers,frankvdlinde
DeSloperT,TheRebelThePoet
T888T77,Mvdb76
T888T77,HartvNL
1964bigboy,dknergin
remkob131,SylvanaBIJ1
SjefVugt,Willem4bergen
SjefVugt,DeAltijd
samedvs,quinsyg
Justin_Kees1,straatruis
Justin_Kees1,NHNieuws
GenerationalFTa,mrbrownwhale
GenerationalFTa,Largo_112
MiraMoerma,liesbethvdveen
MiraMoerma,NHNieuws
wordtvervolgd,TheRebelThePoet
Hansla,SteenksRafaela
NicoStikvoort,BartNijman
NicoStikvoort,TheodorHolman
Lijst_2030,dancalegria
T888T77,cmtolkes
T888T77,HartvNL
JakobKingma,Magica08678935
LucianaBoutox,Jeetje_MINA
LucianaBoutox,pietur
RaafMeneer,HartvNL
RaafMeneer,HartvNL
RaafMeneer,HartvNL
Mvdb76,T888T77
Mvdb76,HartvNL
WijZeggen,martwinducati
WijZeggen,JCrelis
WijZeggen,rallyjef2
OutOfLikes,lorenzovoort_
OutOfLikes,wileikelboom
hansbrugwachter,peggybvd
hansbrugwachter,Freekweer
hansbrugwachter,sas_pvv_
hansbrugwachter,MEESTERPEET
MitchelJong,Gravedi21038839
MitchelJong,EdwardVeerman
TC_Group_Crypto,anoushanzume
TC_Group_Crypto,kozwartepiet
Elzinga34113436,LavieJanRoos
DeMariekeK,SamanthavanS95
waarheidsridder,HartvNL
JacobDirkDR888,rblommestijn
rerink_eu,SylvanaBIJ1
DeMariekeK,SamanthavanS95
DyanaEngels2,vrijdagde13
nitram318,HaraldDutch
nitram318,M_nke
nitram318,Magica08678935
nitram318,NOS
nitram318,HaraldDutch
nitram318,M_nke
nitram318,Magica08678935
nitram318,NOS
BasBrouwer3,VrouwvdVrijheid
SandroP71216998,AntiZwartePiet
JaapKooiman1,HartvNL
_Madebydave,StvnLntz
esthervalent,SjefVugt
esthervalent,vpknerd
esthervalent,NicVis4
esthervalent,erikpjverweij
ringwaldband,DongaMaurits
ringwaldband,PolitiekBIJ1
ringwaldband,groenlinks
ringwaldband,SPnl
ringwaldband,PvdA
ringwaldband,D66
ringwaldband,PartijvdDieren
Dond3r,JamesRon1980
Dond3r,Djammi
Dond3r,HansdeBoer18
Dond3r,PolitiekBIJ1
Lampladies,HartvNL
parooidianazang,_Frummel_
OmroepON,SimoneKerseboom
nachtboekhouder,Doorbraakeu
hendriks_rick,EdWres
Erna_1969d,HendrikWakker
Muppetpupy,SylvanaBIJ1
Agjepagje,Bremannet
Agjepagje,HartvNL
kroon125,nachtboekhouder
parooidianazang,HarryPater62
Miriam03743463,HartvNL
sjors_otten,AMerlijn
sjors_otten,MrsKrass
sjors_otten,LiekeSievers
sjors_otten,gemEdamVolendam
DaWizzNL,Kara___Gozlum
Mariska_Ruchtie,dancalegria
Uitlaatklepper,Lisaaaa57673548
Uitlaatklepper,erikpjverweij
cjkindt,maartenbakkerch
An39724254,EinsteinBarbie
Ann195465,Sandervandam2
ZeroSum2021,Doorbraakeu
ZeroSum2021,TheRebelThePoet
ZeroSum2021,kozwartepiet
HOnmens,mikofLohr
WillyvHuet,erikpjverweij
Jvdh1V,Adijksma1985
Jvdh1V,kozwartepiet
marcelvandenber,MaxTheDragon
SamanthavanS95,DeMariekeK
Wsh94_,TheFriar1966
Wsh94_,erikpjverweij
MvButselaar,Schnoetsz
MvButselaar,ZeepSop
monniemeeker,HartvNL
DeHortOpMetJan,SylvanaBIJ1
ZwartePiet_be,the_real_jerome
ZwartePiet_be,Monpsyvite
Arendheim,SylvanaBIJ1
TwTweetybird,Frances_Heijman
TwTweetybird,annstrikje
OZeveraar,PVanDoorn4
Robert_b70,theNUC1
Robert_b70,Politie
VrijWimpie,RenMid
KapiteinThierry,DevliegerErik
RobertS00895504,HartvNL
wileikelboom,JoannaSusanna
wileikelboom,Magica08678935
wileikelboom,alextencate
Robbert00272607,fabel31577
Robbert00272607,kozwartepiet
Miriam03743463,dancalegria
HetPapierenHuis,doperwtje73
HetPapierenHuis,mamaruja94
HetPapierenHuis,J41963735
TwTweetybird,annstrikje
Dutchfan33,VrouwvdVrijheid
jeroen71058233,SylvanaBIJ1
MiquelMiez,Crytonewb1
MiquelMiez,mrbrownwhale
MiquelMiez,Metznvier4
Robbert00272607,mrbrownwhale
Robbert00272607,kozwartepiet
Koos24Koos,Martijnmbrmrbr
Koos24Koos,Mevrouw_Maas
Koos24Koos,mjppeeters
Koos24Koos,NHNieuws
jaccobezuijen,NHNieuws
LuukB9,SylvanaBIJ1
Bespired,Joop_nl
RickAfcA013,AFmalukuCA
marcjacobs88,JohnitoMusic
toetsenbordrid2,geenstijl
Robbert00272607,kozwartepiet
Zeemeermin6,aalbert_torsius
Zeemeermin6,paulcaballo2
BartBlaauw,HartvNL
SjefVugt,Virtual_Birding
SjefVugt,ZelfBart
SjefVugt,boggersnap
Tante_Essie,TheRebelThePoet
jaken69261993,Doorbraakeu
jaken69261993,TheRebelThePoet
jaken69261993,kozwartepiet
DaveVandenber12,Mirjam152
DaveVandenber12,LZ41819624
Richard__vliet_,dknergin
BrotherLouis1,LavieJanRoos
Hans932885211,LavieJanRoos
Floor070,YouriSteinv
rob2755,NHNieuws
pizzettodibarra,VrouwvdVrijheid
D_van_Aalst,kristonvbemmel
sabonis38,TheRebelThePoet
mislukt12345,Kees71234
mislukt12345,55Spotgaai
RobdeHaan4,NicoleMoinat
RobdeHaan4,kozakghost95
RobdeHaan4,LavieJanRoos
GajusMarius,JanSmit
boggersnap,SjefVugt
YesOpstand,MissMel_12_
RobdeHaan4,LavieJanRoos
dezusvandeboer,theNUC1
dezusvandeboer,Politie
BabyDoge2022,MEXC_Global
BabyDoge2022,BabyDogeCoin
ropey0486,EinsteinBarbie
breinbrood,recognisablyttv
breinbrood,TheRebelThePoet
BabyDoge2022,BabyDogeEsp
BabyDoge2022,MEXC_Global
BabyDoge2022,BabyDogeCoin
BabyDoge2022,Uniswap
BabyDoge2022,amirmehdihni
BabyDoge2022,MEXC_Global
BabyDoge2022,BabyDogeCoin
Hans47D,Doorbraakeu
BabyDoge2022,MEXC_Global
BabyDoge2022,BabyDogeCoin
Savornsavorn,verweesdlinks
dre_ftw,SylvanaBIJ1
marcjacobs88,LammertBies
DutchDL,2deKamerFVD
RogerCarcass,sbs6
nuncaparami,anoushanzume
nuncaparami,theNUC1
nuncaparami,kozwartepiet
henkrenst,TheRebelThePoet
flakes010,henkrenst
flakes010,rallyjef2
vreemland,marcelbar8
vanheutsz435ibc,SylvanaBIJ1
rubenverkuylen,sam1369xxx
rubenverkuylen,EinsteinBarbie
rubenverkuylen,keerlijk
WillemLoon,alextencate
Mvdb76,T888T77
Mvdb76,HartvNL
breinbrood,Magica08678935
breinbrood,TheRebelThePoet
zoutsnoepje,Dvdk34293007
Mvdb76,HartvNL
Bart12530093,SylvanaBIJ1
WatNuWeerZeg,HartvNL
oornstein,fampoes
Talentwillwin,Zeemeermin6
JohanKoorn,JohanKreek
eenandereblikop,HartvNL
maydanachar,HartvNL
SebasToutt,SylvanaBIJ1
gelijkhebjehans,chrisontwit4
breinbrood,LauraJosepha
breinbrood,nihalesmaaltmis
Jannostijlback1,HartvNL
T888T77,HartvNL
StellaWee2018,KathinkaBeer
In2Anonymity,dknergin
bolospitse50,LavieJanRoos
chrisontwit4,gelijkhebjehans
sjiftie,mmhoff
sjiftie,ImaneAmsterdam
sjiftie,kozwartepiet
ardjiman,Kara___Gozlum
TonVerheij,geenstijl
robhonig,minpres
robhonig,hugodejonge
edlotus7,sander_tweets
edlotus7,theNUC1
Niem62453560Ano,fabel31577
Niem62453560Ano,kozwartepiet
winfriedvdveen,dknergin
assissicourt,DeLelijke
assissicourt,frankvdlinde
GWK112,Adijksma1985
GWK112,kozwartepiet
Niem62453560Ano,NPORadio1
Niem62453560Ano,kozwartepiet
Niem62453560Ano,TheRebelThePoet
_Del_Molino,Doorbraakeu
_Del_Molino,TheRebelThePoet
_Del_Molino,kozwartepiet
vis_para,KyriAlexy_says
vis_para,nachtboekhouder
vis_para,SylvanaBIJ1
GWK112,Adijksma1985
GWK112,kozwartepiet
Timster1982,Sandervandam2
Niem62453560Ano,kozwartepiet
Niem62453560Ano,TheRebelThePoet
Niem62453560Ano,kozwartepiet
__Joos__,eevee_rose
__Joos__,Doorbraakeu
Herman_Beun,erikpjverweij
Noviomagus1966,HartvNL
ArjanLieverNiet,giztheb
ArjanLieverNiet,Gerardusjojo
ArjanLieverNiet,HarryPater62
ArjanLieverNiet,geertwilderspvv
Niem62453560Ano,TheRebelThePoet
Niem62453560Ano,kozwartepiet
bolospitse50,IJda_H
bolospitse50,HendrikWakker
W0mmetje,HartvNL
mister_edjuh,HartvNL
Abel19131812,Doorbraakeu
Abel19131812,TheRebelThePoet
Abel19131812,kozwartepiet
vis_para,SylvanaBIJ1
bolospitse50,HendrikWakker
franssuper,VeldKirst13
franssuper,Verwardwezen
Pietmmajoor1,HendrikWakker
Fonzi16079304,Sanne37542306
Fonzi16079304,Ina01465079
Fonzi16079304,geenstijl
jantje4000,HartvNL
Smient1,Sandervandam2
ArjanLieverNiet,AnnemarieGelder
ArjanLieverNiet,telegraaf
Erna_1969d,munstermannt
Erna_1969d,ZangeresHanny
Erna_1969d,alexandervherp
Erna_1969d,DeStefVolendam
maarten482,erikpjverweij
Ins0mnia,ZeepSop
Ins0mnia,aaa_sooh
Ins0mnia,frankvdlinde
Ins0mnia,POL_Volendam
Ins0mnia,Het_OM
moetjehorentv,RotterdamBIJ1
Pietmmajoor1,SirJelle
Pietmmajoor1,HendrikWakker
Pietmmajoor1,Tommygunner
NFeydrautha,helena_is_here
CryptoMiguelito,geenstijl
rubenverkuylen,sam1369xxx
rubenverkuylen,EinsteinBarbie
rubenverkuylen,keerlijk
EchteGermaan,SylvanaBIJ1
Ann195465,reus64
NieuweDagEnKans,SylvanaBIJ1
NieuweDagEnKans,PolitiekBIJ1
NieuweDagEnKans,DenKozp
hardcorejunkyxx,rdv1021_rdv102
Stevenotus,TheRebelThePoet
BerghRobvd,anoushanzume
BerghRobvd,kozwartepiet
BerghRobvd,anoushanzume
nuncaparami,theNUC1
nuncaparami,Politie
Savornsavorn,HenryJP5
hulswood,Allememaggies5
Christovte1,theNUC1
Christovte1,Politie
bodejos,henrizwart79
bodejos,HartvNL
euroteller,geenstijl
vanDijkHJ,brechtjedeleij
vanDijkHJ,ShashiRoopram
JackWester5,WMPost
JackWester5,NOS
DerfLivE,HartvNL
Leo20811768,minlnv
groenevink,NHNieuws
fiebontekoe,WijkagentJeff
fiebontekoe,grachtvis
fiebontekoe,NHNieuws
nlglijdaf,LavieJanRoos
harryfmik,Eddy83640578
harryfmik,pieter_bull
harryfmik,wierdduk
CarolineAdriaa1,annstrikje
Martijn45926262,SylvanaBIJ1
r_hartman,MInsaniam
AHuisein,rallyjef2
Eeuwigejeugd1,HaddockIsBoos
Steveman1985,erikpjverweij
nitram318,HaraldDutch
nitram318,M_nke
nitram318,Magica08678935
nitram318,NOS
stavoorjezelf,aadvanderzee
stavoorjezelf,rblommestijn
ZwartePiet_be,philippeboey
ZwartePiet_be,Dsoenens
theNUC1,Politie
AFmalukuCA,ErikTiel
AFmalukuCA,VdMarx
AFmalukuCA,Gertjankoster
nitram318,HaraldDutch
nitram318,M_nke
nitram318,Magica08678935
nitram318,NOS
AmsterdamTiles,HerstoryTeache
AmsterdamTiles,PatriciaFoort
frankgrauzone,RutgerGW
chieffamr,hghmdmg
fastdaddyNL,rallyjef2
Eliwac1,BartNijman
Eliwac1,wierdduk
Elsj89,blondbaard
Elsj89,NicVis4
Elsj89,erikpjverweij
aapedjo,vester71
MartindeGoede,JoycaKuijpers
MartindeGoede,Thefirstyelle
MartindeGoede,erikpjverweij
HOnmens,Evert69384280
HOnmens,robinpothof30
HOnmens,helenestafleu
MartindeGoede,erikpjverweij
AlexvanNetten,NlSimona
AlexvanNetten,seadanourhussen
Alphae1978,Frances_Heijman
MdeRuiterRdam,NOS
MdeRuiterRdam,Teletekst
yeti62111166,geenstijl
yeti62111166,TheRebelThePoet
martha7800,FartVader4
martha7800,VanVidere
martha7800,Stiefloeder1
Riffter7,LavieJanRoos
Bespired,DylanDane6
haastrechtPvan,RonBraan
haastrechtPvan,AbsorbUnderwear
haastrechtPvan,dknergin
sandypeter379,OmroepON
sandypeter379,geertwilderspvv
andreae_f,Alex_Jacob5
WuftL,PMoonlady
WuftL,Kosmik_nl
WuftL,anoushanzume
WuftL,kozwartepiet
buist_hans,stings_likealex
buist_hans,kozwartepiet
remkob131,geenstijl
Chaotic_kutjong,SelkietweetsG
Robert_b70,Doorbraakeu
Robert_b70,kozwartepiet
AlexvanNetten,Agjepagje
AlexvanNetten,seadanourhussen
AlexvanNetten,JohnitoMusic
AlexvanNetten,Politie
Ben_Manuputty,MvButselaar
Sanne37542306,Fonzi16079304
Sanne37542306,Ina01465079
Sanne37542306,geenstijl
Rinix55980704,moeva18
Rinix55980704,HartvNL
pielegie,VrouwvdVrijheid
BraakselK,TheEdgyVeggie1
BomertArjen,frankvdlinde
BomertArjen,POL_Volendam
BomertArjen,Het_OM
LinksBoomer,RotterdamBIJ1
BomertArjen,HendrikMarsman
BomertArjen,Shikra145
BomertArjen,frankvdlinde
BomertArjen,POL_Volendam
BomertArjen,Het_OM
AlexvanNetten,Agjepagje
AlexvanNetten,seadanourhussen
AlexvanNetten,JohnitoMusic
AlexvanNetten,Politie
Vincentgdevlugt,bodejos
EWagensveld,henkbres
Aychaofc,instagram
bilgeyolculuk,anlikhaberim
bilgeyolculuk,Haber
bilgeyolculuk,mansuryavas06
bilgeyolculuk,ibbhaberleri
bilgeyolculuk,ibb_kultur
bilgeyolculuk,ibbtvcanli
Anandstweets,LarryMadowo
Bespired,frankvdlinde
Hoofdzuster1,marcelbar8
anlikhaberim,bilgeyolculuk
anlikhaberim,Haber
anlikhaberim,mansuryavas06
anlikhaberim,ibbhaberleri
anlikhaberim,ibb_kultur
anlikhaberim,ibbtvcanli
Aark72Hassan,POL_Volendam
frankgrauzone,NOS
OxbowSir,NaastDe
OxbowSir,EinsteinBarbie
Suwanda7,anewchallenge22
Suwanda7,Z80885923
Suwanda7,VrouwvdVrijheid
Roland88489966,VrouwvdVrijheid
Roland88489966,MastersLars
Ins0mnia,ashatenbroeke
miesmoes76,Jablonski01
miesmoes76,JeroenvanderWa3
miesmoes76,ShashiRoopram
BramTheunissen1,NPORadio1
BramTheunissen1,TheRebelThePoet
BramTheunissen1,NPO
UrbanVillagers,gemEdamVolendam
TheFriar1966,erikpjverweij
RoeftanJalon,JanBockma
RoeftanJalon,BartNijman
WvH100,vester71
Martijnmbrmrbr,Koos24Koos
Martijnmbrmrbr,Mevrouw_Maas
Martijnmbrmrbr,mjppeeters
Martijnmbrmrbr,NHNieuws
hschenderling,SylvanaBIJ1
TopperTukker,SylvanaBIJ1
tommy020974,Zeemeermin6
Johnyloco123,mickvanwely
amsterdam_my,Doorbraakeu
paulcaballo2,Zeemeermin6
Kriek_Paul,Genesis_crawler
bertrand_bos,mastie123
bertrand_bos,dimitri197611
bertrand_bos,PhilipOosterman
bertrand_bos,sas_pvv_
DoelXvh,AlexvanNetten
DoelXvh,seadanourhussen
DoelXvh,JohnitoMusic
DoelXvh,Politie
ank_bw,MaxTheDragon
NL08215792,SteenksRafaela
K72725270,hulswood
lieve92424321,W204041
lieve92424321,MarinaDH070
lieve92424321,kozwartepiet
MediaservicesEU,FeyeNody
MediaservicesEU,TheRebelThePoet
gewoondoorgaan2,DongaMaurits
gewoondoorgaan2,ringwaldband
gewoondoorgaan2,PolitiekBIJ1
gewoondoorgaan2,groenlinks
gewoondoorgaan2,SPnl
gewoondoorgaan2,PvdA
gewoondoorgaan2,D66
gewoondoorgaan2,PartijvdDieren
GuustFlater9,Kees71234
JadwigaMaksymi1,dancalegria
nitram318,HaraldDutch
nitram318,rubenverkuylen
nitram318,M_nke
nitram318,Magica08678935
nitram318,NOS
wepromiseto,Doorbraakeu
PeterPos1,een_been_peter
PeterPos1,remcoromeo
PeterPos1,elfje13
edebets1,RvDantzig
ferona40,HendrikWakker
ReneeKirkenier,soulborned
ReneeKirkenier,rblommestijn
PeterPos1,een_been_peter
PeterPos1,remcoromeo
PeterPos1,elfje13
MariacrypMaria,frankvdlinde
MariacrypMaria,POL_Volendam
MariacrypMaria,Het_OM
KapiteinJeroen,alfredblokhuize
KapiteinJeroen,selmazij
KapiteinJeroen,Fromdamountain
LLandloper,ME_Valentijn
LLandloper,RebekkaTimmer
een_been_peter,PeterPos1
een_been_peter,remcoromeo
een_been_peter,elfje13
RenevanHaaften,Magica08678935
RenevanHaaften,kozwartepiet
Bespired,PatriciaFoort
Bespired,AquariusInRed
walther19124288,HendrikWakker
DerdeJantje,HugoMaerten
DerdeJantje,ADoludag
DerdeJantje,googlenews
Bespired,AquariusInRed
Mica1918541039,JantenCate
simpel_life,YEwijk
simpel_life,WJisthename
simpel_life,HendrikWakker
OxbowSir,alfredblokhuize
OxbowSir,Fromdamountain
WillemLoon,RobertjanZwart
WillemLoon,LavieJanRoos
WillemLoon,nijllattennemen
walther19124288,NOS
henkrenst,Chrome_Viper
henkrenst,restlessfall
henkrenst,TheRebelThePoet
